title,body,labels,status,milestone
B01 — Hybrid Project Structure & Setup,"**Backlog ID**: B01

**Issue #1: Hybrid Project Structure & Setup**

**Description**
Create the hybrid skeleton: file-based content (public/private), static frontend, and a minimal backend folder for auth and private file serving. Establish `.gitignore`, base docs, and basic tooling.

**Learning Goals**
- Compare static vs hybrid vs full-backend delivery and their trade-offs.  
- Practice clean project layout aligned with Clean Architecture layers.  
- Understand how file-based content enables versioning and simplicity.

**Acceptance Criteria**
- [ ] Root folders exist: `content/public`, `content/private`, `frontend`, `backend`, `scripts`, `docs`.  
- [ ] Initial HTML (`frontend/index.html`), `frontend/styles/`, `frontend/js/` scaffolds.  
- [ ] `.gitignore`, `README.md`, and this backlog linked in `docs/`.  
- [ ] Local static server command documented (python http.server).  
- [ ] Dev instructions in `docs/SETUP.md` validated end-to-end.

**Subtasks**
- [ ] Create folder tree and placeholder files.  
- [ ] Add basic favicon/assets placeholders.  
- [ ] Verify static serving at `http://localhost:3000` (or chosen port).

**Depends On**: —

**Suggested Branch**: `feature/issue-1-hybrid-structure`","type-feature, learning-architecture, priority-critical, backlog-import-2025-08",open,Milestone 0
B02 — Metadata System for Content Organization,"**Backlog ID**: B02

**Issue #2: Metadata System for Content Organization**

**Description**
Define and implement `.metadata.json` per folder to describe files, tags, relationships, and optional attributes (difficulty, created, etc.). Include a schema doc and examples.

**Learning Goals**
- Design JSON schemas for content description.  
- Understand metadata-driven rendering and search without a DB.  
- Practice validation and graceful error handling for malformed JSON.

**Acceptance Criteria**
- [ ] Documented schema with fields: title, description, tags, files[], connections[].  
- [ ] Sample metadata files in `content/public/...` and `content/private/...`.  
- [ ] A small validator (JS or Python) that reports errors with line/file.  
- [ ] Guidelines added to `docs/` on authoring metadata.

**Subtasks**
- [ ] Author `docs/metadata_schema.md` with examples.  
- [ ] Implement `scripts/validate_metadata.py` (or JS) with exit codes.  
- [ ] Run on repo to baseline-fix issues.

**Depends On**: #1

**Suggested Branch**: `feature/issue-2-metadata-schema`","type-feature, learning-architecture, component-metadata, priority-critical, backlog-import-2025-08",open,Milestone 0
B03 — Minimal Flask Backend for Authentication,"**Backlog ID**: B03

**Issue #3: Minimal Flask Backend for Authentication**

**Description**
Create a tiny Flask app (3–4 endpoints) for login (JWT), token validate, and private file serving. Include minimal config and CORS. No DB.

**Learning Goals**
- Implement JWT securely (signing, expiration).  
- Learn secure file serving from private directory.  
- Configure CORS and environment variables.

**Acceptance Criteria**
- [ ] `/api/auth/login` issues a JWT upon valid password.  
- [ ] `/api/auth/validate` returns token validity.  
- [ ] `/private/<path>` serves only with valid `Authorization: Bearer` header.  
- [ ] Basic tests for auth success/failure cases.  
- [ ] `backend/requirements.txt` minimal (Flask, PyJWT, Werkzeug).  
- [ ] Security notes: secret management, token TTL, error messages.

**Subtasks**
- [ ] Wire CORS for localhost:3000 → 5000.  
- [ ] Add `.env.example` and config reader.  
- [ ] Unit tests with PyTest/Flask client.

**Depends On**: #1

**Suggested Branch**: `feature/issue-3-flask-auth`","type-feature, learning-architecture, learning-security, component-auth, priority-critical, backlog-import-2025-08",open,Milestone 0
B04 — Development Environment & Dual Server Setup,"**Backlog ID**: B04

**Issue #4: Development Environment & Dual Server Setup**

**Description**
Provide a script to start both servers (frontend static + Flask backend). Ensure logs are readable and CORS works.

**Learning Goals**
- Manage multi-process dev workflows.  
- Understand cross-origin requests and proxy/CORS trade-offs.  
- Build a clean developer experience.

**Acceptance Criteria**
- [ ] `scripts/start_dev.py` (or shell) starts both servers with helpful output.  
- [ ] Confirmed endpoints reachable: `/` (frontend), `/api/auth/login` (backend).  
- [ ] Clear README section for starting/stopping and ports.  
- [ ] Hot-reload guidance (manual refresh acceptable; optional watchdog).

**Subtasks**
- [ ] Add logging prefixes per process.  
- [ ] Document port collisions and remedies.

**Depends On**: #1, #3

**Suggested Branch**: `feature/issue-4-dev-servers`","type-feature, learning-architecture, priority-high, backlog-import-2025-08",open,Milestone 0
B04.1 — Frontend CSS Architecture Setup,"**Backlog ID**: B04.1

**Issue #4.1: Frontend CSS Architecture Setup**

**Description**
Refactor monolithic CSS into modular, component-based architecture following BEM methodology and Clean Architecture principles. Establish scalable stylesheet organization before implementing business logic components.

**Learning Goals**
- BEM methodology implementation and naming conventions
- CSS custom properties system for consistent theming
- Component-based styling patterns vs monolithic approaches
- Responsive design architecture and breakpoint systems
- CSS performance optimization and maintainability

**Security Considerations**
- Prevent CSS injection through proper sanitization
- Implement Content Security Policy for style sources
- Validate CSS custom property values

**Architecture Notes**
- Follows Single Responsibility Principle: each CSS file serves one purpose
- Implements Open/Closed Principle: easy to add new components without modifying existing
- Demonstrates separation of concerns: presentation separated from behavior

**Acceptance Criteria**
- [ ] Break `style.css` into modular structure: `base/`, `components/`, `layouts/`
- [ ] Implement CSS custom properties for colors, spacing, typography
- [ ] Add CSS naming conventions documentation following BEM
- [ ] Create responsive breakpoint system with mobile-first approach
- [ ] Validate no style regressions across existing components
- [ ] Document CSS architecture decisions in `docs/css-architecture.md`

**Subtasks**
- [ ] Create `styles/base/reset.css` for cross-browser normalization
- [ ] Create `styles/base/variables.css` for design tokens
- [ ] Create `styles/base/typography.css` for text styling
- [ ] Create `styles/components/` directory with component-specific styles
- [ ] Create `styles/layouts/` for grid systems and page layouts
- [ ] Update `styles/style.css` to import all modules
- [ ] Add CSS linting configuration (stylelint)

**Depends On**: B01

**Suggested Branch**: `feature/issue-4_1-css-architecture`","type-feature, learning-architecture, component-ui, priority-critical, backlog-import-2025-08",open,Milestone 0
B04.2 — JavaScript Component Architecture Foundation,"**Backlog ID**: B04.2

**Issue #4.2: JavaScript Component Architecture Foundation**

**Description**
Establish ES6 module system and component base classes to prevent embedded JavaScript issues. Create architectural foundation for maintainable, testable UI components before implementing business logic.

**Learning Goals**
- ES6 module system patterns and import/export best practices
- Component lifecycle management (mount, update, unmount)
- Event-driven architecture and component communication
- Clean separation of presentation logic from business logic
- Abstract base classes and inheritance in JavaScript

**Security Considerations**
- Prevent XSS through safe DOM manipulation patterns
- Implement input validation at component boundaries
- Secure event handling to prevent event injection

**Architecture Notes**
- Implements Abstract Factory pattern for component creation
- Uses Observer pattern for component communication
- Follows Single Responsibility: each component has one clear purpose
- Demonstrates Dependency Injection for better testability

**Acceptance Criteria**
- [ ] Create base `Component` class with lifecycle methods (`mount`, `update`, `unmount`)
- [ ] Implement event system for component communication
- [ ] Set up ES6 module import/export patterns throughout frontend
- [ ] Create component registration system for automatic initialization
- [ ] Add development-time component validation and warnings
- [ ] Document component architecture patterns in `docs/component-architecture.md`

**Subtasks**
- [ ] Create `frontend/js/base/Component.js` with abstract base class
- [ ] Create `frontend/js/utils/EventBus.js` for component communication
- [ ] Create `frontend/js/utils/DOM.js` for safe DOM manipulation
- [ ] Create `frontend/js/base/ComponentRegistry.js` for component management
- [ ] Add component lifecycle documentation with examples
- [ ] Set up module bundling configuration for development

**Depends On**: B04.1

**Suggested Branch**: `feature/issue-4_2-js-architecture`","type-feature, learning-architecture, component-ui, priority-critical, backlog-import-2025-08",open,Milestone 0
B04.3 — Mobile Navigation Component Implementation,"**Backlog ID**: B04.3

**Issue #4.3: Mobile Navigation Component Implementation**

**Description**
Implement professional mobile menu with accessibility, progressive enhancement, and smooth animations. Address Copilot feedback about incomplete mobile menu functionality by creating a fully functional component.

**Learning Goals**
- Progressive enhancement implementation (works without JS, enhanced with JS)
- Touch and keyboard interaction patterns for mobile interfaces
- CSS animation performance optimization techniques
- Accessibility-first component design with ARIA attributes
- Component state management and user interaction handling

**Security Considerations**
- Prevent navigation manipulation through secure route validation
- Implement safe event handling to prevent injection attacks
- Ensure focus management doesn't expose sensitive information

**Architecture Notes**
- Follows Strategy pattern for different menu animation types
- Uses Template Method pattern for consistent menu behavior
- Implements Observer pattern for menu state notifications
- Demonstrates polymorphism through interface-based design

**Acceptance Criteria**
- [ ] Implement hamburger menu with smooth CSS animations
- [ ] Add comprehensive keyboard navigation support (Tab, Enter, Escape)
- [ ] Include ARIA attributes and screen reader announcements
- [ ] Create touch gesture support for mobile devices
- [ ] Test across different viewport sizes and orientations
- [ ] Implement focus trap when menu is open
- [ ] Add animation performance monitoring

**Subtasks**
- [ ] Create `MobileMenuComponent` class extending base Component
- [ ] Implement CSS animations using transforms for performance
- [ ] Add ARIA live regions for screen reader updates
- [ ] Create keyboard navigation event handlers
- [ ] Add touch gesture recognition for swipe interactions
- [ ] Implement body scroll lock when menu is open
- [ ] Add comprehensive accessibility testing documentation

**Depends On**: B04.2

**Suggested Branch**: `feature/issue-4_3-mobile-navigation`","type-feature, learning-frontend, component-ui, priority-high, backlog-import-2025-08",open,Milestone 0
B04.4 — Certificate Verification System Implementation,"**Backlog ID**: B04.4

**Issue #4.4: Certificate Verification System Implementation**

**Description**
Replace placeholder certificate verification with functional system. Address Copilot feedback about non-functional verification links and incomplete certificate validation features.

**Learning Goals**
- External API integration security and error handling
- URL validation patterns and security considerations
- User feedback systems for asynchronous operations
- Error handling for third-party service failures
- HTTP request security and data validation

**Security Considerations**
- Validate all certificate verification URLs to prevent redirect attacks
- Implement proper error handling without exposing sensitive information
- Secure HTTP requests with proper headers and timeouts
- Prevent certificate data injection through input validation

**Architecture Notes**
- Uses Strategy pattern for different certificate providers
- Implements Circuit Breaker pattern for external service failures
- Follows Repository pattern for certificate data access
- Demonstrates proper error boundary implementation

**Acceptance Criteria**
- [ ] Replace `href='#'` with actual certificate verification URLs
- [ ] Implement certificate validation API integration
- [ ] Add user feedback for verification status (loading, success, error)
- [ ] Create comprehensive error handling for network failures
- [ ] Add certificate authenticity validation
- [ ] Open verification links in new tabs with proper security attributes

**Subtasks**
- [ ] Create `CertificateVerificationService` class
- [ ] Implement URL validation and sanitization
- [ ] Add loading states and user feedback components
- [ ] Create error handling for various failure scenarios
- [ ] Add certificate provider configuration system
- [ ] Implement caching for verification results

**Depends On**: B04.2

**Suggested Branch**: `feature/issue-4_4-certificate-verification`","type-feature, learning-security, component-ui, priority-medium, backlog-import-2025-08",open,Milestone 0
B05 — Base FileSystem Classes with Encapsulation,"**Backlog ID**: B05

**Issue #5: Base FileSystem Classes with Encapsulation**

**Description**
Create `FileSystemNode`, `ContentFolder`, `ContentFile` classes with private fields, validated paths, and safe operations to list contents and read metadata.

**Learning Goals**
- Encapsulation & SRP in domain modeling.  
- Input/path validation and error handling.  
- Designing testable classes (no DOM access).

**Acceptance Criteria**
- [ ] ES6 modules under `frontend/js/models/`.  
- [ ] Private fields for internal state; getters for safe read.  
- [ ] Unit tests for invalid paths and metadata edge cases.  
- [ ] JSDoc docstrings for each class & method.

**Subtasks**
- [ ] Define interfaces and invariants.  
- [ ] Implement error classes (ValidationError, UnauthorizedError).

**Depends On**: #1, #2

**Suggested Branch**: `feature/issue-5-filesystem-classes`","type-feature, learning-oop, component-files, priority-critical, backlog-import-2025-08",open,Milestone 1
B06 — Content Type Inheritance Hierarchy,"**Backlog ID**: B06

**Issue #6: Content Type Inheritance Hierarchy**

**Description**
Create `ContentItem` abstract base and subclasses: `PDFDocument`, `ImageFile`, `TextDocument`, `NotebookFile` (placeholder) with type-specific preview/info behavior. Add `ContentFactory`.

**Learning Goals**
- IS-A vs HAS-A decisions (inheritance vs composition).  
- Overriding & template method pattern.  
- Factory pattern for extensibility.

**Acceptance Criteria**
- [ ] Base class with abstract `getPreviewInfo()` and shared fields.  
- [ ] Subclasses implement preview/metadata logic.  
- [ ] `ContentFactory.createContentItem()` chooses by extension.  
- [ ] Tests: polymorphic `getPreviewInfo()` and factory coverage ≥ 80%.

**Subtasks**
- [ ] UML sketch (doc) for hierarchy.  
- [ ] Edge-case handling for unknown extensions.

**Depends On**: #5

**Suggested Branch**: `feature/issue-6-content-types`","type-feature, learning-oop, component-files, priority-critical, backlog-import-2025-08",open,Milestone 1
